This table was composed by Amy Bernard (Allen Institute),,,,,,,,
The Human Brain CCF is downloadable here: https://community.brain-map.org/t/allen-human-reference-atlas-3d-2020-new/405,,,,,,,,
"Citation: Ding, S.L., et al.  Comprehensive cellular‐resolution atlas of the adult human brain. Journal of Comparative Neurology, Volume 524:16, pages 3127–3481, 1 November 2016, DOI 10.1002/cne.24080.",,,,,,,,
 SEE HERE unflattened table: https://docs.google.com/spreadsheets/d/19m_xjwM5le7UKvt8966aEPA_a7HSCJBQY9Mq4qDe0ZQ/edit#gid=1644155102,,,,,,,,
Updated 10-06-2020 EMQ Note that only the motor cortex currently has cell types and biomarkers,,,,,,,,
Pertinent negatives/comments/numbering convention  https://portal.brain-map.org/explore/classes/nomenclature,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,
"This is for Adult human brain structure-based anatomy only;  cell types will map to these spatial designations.  Based on Allen Brain Atlas, CCF (3D), annotated by Song-Lin Ding ",,,,,,,,
Cell Types for M1 mapped by Jeremy Miller (draft version),,,,,,,,
,,,,,,,,
Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Cell type Class,specific cell type,BioMarker subset
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,PVALB class GABAergic neuron,Inh L5-6 PVALB FAM150B,"FAM150B, MYBPC1, TNC"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,PVALB class GABAergic neuron,Inh L5-6 PVALB MEPE,"MEPE, MYBPC1, SVIL"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,PVALB class GABAergic neuron,Inh L1-6 PVALB COL15A1 (Chandelier),"COL15A1, NPNT"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2 LAMP5 KCNG3,"FAM163A, LOC101927668, SAMD3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2 LINC00507 ATP7B,"ACVR1C, LOC105377209"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2 LINC00507 GLRA3,"LINC01378, LOC101928278, SERPINE2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2-3 RORB RTKN2,"LOC101927745, LOC105376987, PLCH1, RMST"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2-3 LINC00507 DSG3,"BDNF, BMPR1B, LOC105379003"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3 LAMP5 CARM1P1,"EPB41L4A, SV2C, SYT2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2-3 RORB CCDC68,"COBLL1, COL5A2, PRSS12"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 2-3 glutamatergic neuron with presumptive intratelencephalic projections,Exc L2-3 RORB PTPN3,"COL5A2, LOC105370610, LOC105378334, RORB"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3 THEMIS ENPEP,"FAP, LAMA2, LOC101928964, LOC105376081"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3-5 RORB TNNT2,"FSHR, LOC100507562, LOC105376081"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3-5 RORB LAMA4,"KCNH8, LOC100128497, LOC101927281, LOC105376081, TRP"
